Product Code,Store ID,Price,Is Exist
400580863066walmart,75,64,FALSE
871010398475walmart,75,,FALSE
400845547671walmart,75,34,FALSE
400845553041walmart,75,98,FALSE
4016walmart,75,7.58,FALSE
4020walmart,75,10.8,FALSE
4022walmart,75,74,FALSE
402310307395walmart,75,46,TRUE
4026walmart,75,9.98,TRUE
4031walmart,75,18.9,TRUE
4034walmart,75,34.9,TRUE
4038walmart,75,6.9,TRUE
4048walmart,75,3.99,TRUE
4050walmart,75,31.9,TRUE
4061walmart,75,17.9,FALSE
406660002004walmart,75,95,FALSE
4066walmart,75,5.19,TRUE
406770001404walmart,75,429,FALSE
800247001612walmart,75,,FALSE
4069771196walmart,75,89,TRUE
4080walmart,75,109,TRUE
4085walmart,75,10.5,FALSE
4089walmart,75,25,TRUE
4090walmart,75,9.9,FALSE
4130walmart,75,10.8,FALSE
4132walmart,75,11.8,FALSE
4139000105walmart,75,104,FALSE
4139002081walmart,75,84.5,FALSE
4183835568walmart,75,139,FALSE
4199walmart,75,8.98,TRUE
4200walmart,75,44.9,TRUE
4202walmart,75,38.9,FALSE
4204walmart,75,44.9,TRUE
4225walmart,75,17.8,TRUE
4255walmart,75,6.65,TRUE
4261walmart,75,32.9,TRUE
4266walmart,75,97,FALSE
4299walmart,75,3.35,FALSE
4310walmart,75,14.95,FALSE
4404walmart,75,6.9,TRUE
4430walmart,75,36.5,TRUE
4445walmart,75,10.8,FALSE
4479walmart,75,9.875,FALSE
4540walmart,75,11.63,TRUE
4610walmart,75,64,FALSE
4636walmart,75,54,TRUE
4662walmart,75,59,FALSE
4663walmart,75,19.67,TRUE
4686walmart,75,0.648,FALSE
4689walmart,75,19.2,TRUE
4709walmart,75,9.9,TRUE
4711walmart,75,7.941176471,FALSE
4728walmart,75,4.19,TRUE
4740613883walmart,75,3790,FALSE
475002100015walmart,75,369,TRUE
4761walmart,75,24.75,TRUE
4790walmart,75,26.9,FALSE
4807walmart,75,5.4,TRUE
4816walmart,75,36,FALSE
4852605893walmart,75,117,FALSE
4889walmart,75,5,FALSE
2100064426walmart,75,,FALSE
509951400143walmart,75,78.5,FALSE
5550055889walmart,75,85,TRUE
5695142040walmart,75,78,TRUE
574090040145walmart,75,98,TRUE
600115911135walmart,75,300,TRUE
60538834311walmart,75,16,TRUE
60538834343walmart,75,22,FALSE
60538834442walmart,75,12,FALSE
63314810062walmart,75,40,TRUE
63314810143walmart,75,40,TRUE
65403200135walmart,75,43,TRUE
65848000125walmart,75,65.5,TRUE
67132600014walmart,75,60,TRUE
6731200526walmart,75,51,TRUE
6731200527walmart,75,45,FALSE
68113110654walmart,75,149,TRUE
69402112300walmart,75,236,TRUE
70646002937walmart,75,260,FALSE
72619000107walmart,75,60,FALSE
7464250000walmart,75,225,FALSE
750021100104walmart,75,95,TRUE
750032630852walmart,75,57,TRUE
750032631958walmart,75,62,TRUE
750032634150walmart,75,48,TRUE
750032653681walmart,75,79,TRUE
750032676756walmart,75,39,FALSE
750046216133walmart,75,54,FALSE
750046284763walmart,75,75,TRUE
750046301573walmart,75,154,TRUE
750046346300walmart,75,144,FALSE
750046346301walmart,75,69,TRUE
750047800284walmart,75,17,FALSE
750047800345walmart,75,28,FALSE
750047800471walmart,75,40,TRUE
750047800556walmart,75,48,TRUE
750047800616walmart,75,60,FALSE
750047800798walmart,75,57,FALSE
750047800893walmart,75,40,TRUE
750047801055walmart,75,35,FALSE
750047801465walmart,75,67,FALSE
750047801819walmart,75,57,TRUE
750047801840walmart,75,58,TRUE
750060800027walmart,75,33,FALSE
750060800031walmart,75,33,FALSE
750095900226walmart,75,267,FALSE
750100061240walmart,75,40,TRUE
750100063335walmart,75,36,TRUE
750100065515walmart,75,60,TRUE
750100066260walmart,75,64,TRUE
750100066273walmart,75,47,FALSE
750100091197walmart,75,8.5,FALSE
750100261211walmart,75,65,FALSE
750100310009walmart,75,30,FALSE
750100310018walmart,75,20,TRUE
750100310840walmart,75,56,TRUE
750100312321walmart,75,22,TRUE
750100312343walmart,75,44,TRUE
750100312423walmart,75,13,FALSE
750100312738walmart,75,34.5,FALSE
750100315023walmart,75,46,TRUE
750100318404walmart,75,180,FALSE
750100510266walmart,75,25.5,FALSE
750100510680walmart,75,11.5,FALSE
750100511698walmart,75,22.5,FALSE
750100511777walmart,75,15,TRUE
750100519649walmart,75,31,TRUE
750100653694walmart,75,10.5,FALSE
750100658494walmart,75,36.5,FALSE
750100753390walmart,75,60.5,FALSE
750100849879walmart,75,84,FALSE
750101040617walmart,75,50,TRUE
750101040626walmart,75,22,FALSE
750101040632walmart,75,112,FALSE
750101040909walmart,75,16.5,TRUE
750101131202walmart,75,45,TRUE
750101131592walmart,75,45,TRUE
750101132327walmart,75,70,TRUE
750101136145walmart,75,45,TRUE
750101136606walmart,75,45,TRUE
750101139053walmart,75,65,FALSE
750101139095walmart,75,65,FALSE
750101700363walmart,75,63.5,FALSE
750101700371walmart,75,28,FALSE
750101700415walmart,75,19,TRUE
750101700427walmart,75,16,TRUE
750101700442walmart,75,16,TRUE
750101700503walmart,75,35,TRUE
750101700673walmart,75,15,TRUE
750101700674walmart,75,15,TRUE
750101905326walmart,75,229,TRUE
750102051257walmart,75,41,FALSE
750102053796walmart,75,79.5,FALSE
750102053959walmart,75,16,TRUE
750102055292walmart,75,35,TRUE
750102056404walmart,75,31,TRUE
750102056501walmart,75,28.5,TRUE
750102056534walmart,75,29,FALSE
750102056578walmart,75,35,TRUE
750102350065walmart,75,109,TRUE
750102350716walmart,75,56,TRUE
